COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source,GII,WT
2601199.0,21PA_WQX-WQN0302,41.2492,-75.885,8.9703,0.0,25814.2284,4,,01536500
4196160.0,21PA_WQX-WQN0317,41.5572,-75.8942,6.2226,0.0,1023.1983,4,,01534000
4520418.0,21PA_WQX-WQN0229,40.8672,-77.0489,3.3516,0.0,792.8001,4,,paWQN0229
4529107.0,21VASWCB-1ASOQ006.73,38.5872,-77.4289,5.1822,0.0,23.6736,4,,01658500
4699925.0,21PA_WQX-WQN0214,40.47889999999999,-77.12830000000001,5.9859,0.0,8681.31,4,,01567000
4699925.0,CBP_WQX-WQN0214,40.47842,-77.12915,5.9859,0.0,8681.31,4,,01567000
4709474.0,21PA_WQX-WQN0212,40.2242,-76.8606,1.5741,0.0,564.7743,4,,01571505
4710668.0,CBP_WQX-WQN0243,40.32342,-77.16859,2.2635,0.0,536.9949,4,,01568000
4722109.0,21PA_WQX-WQN0210,40.0814,-76.7181,1.7568,0.0,1327.0527,4,,01574000
4722109.0,CBP_WQX-WQN0210,40.08232,-76.71969,1.7568,0.0,1327.0527,4,,01574000
4724553.0,CBP_WQX-WQN0273,39.94649000000001,-76.36774,0.3726,0.0,1212.1074,4,,01576754
5907079.0,21VASWCB-1BSSF003.56,38.9133,-78.2098,20.9673,0.0,4238.2035,4,,va1BSSF003_56
5907079.0,CBP_WQX-1BSSF003.56,38.91361,-78.20972,20.9673,0.0,4238.2035,4,,va1BSSF003_56
5908085.0,21VASWCB-1BMDD005.81,38.4867,-78.9606,19.2159,0.0,42.8661,4,,01621050
5908521.0,21VASWCB-1BSTH027.85,38.0572,-78.9081,9.1998,0.0,329.0022,4,,va1BSTH027_85
5908729.0,21VASWCB-1BSSF100.10,38.3123,-78.771,11.3472,0.0,2778.588,4,,va1BSSF100_10
5908729.0,CBP_WQX-1BSSF100.10,38.3129,-78.77003,11.3472,0.0,2778.588,4,,va1BSSF100_10
6250666.0,NJHDG-6,40.889,-74.08166,13.3074,0.0,157.8978,4,,01391500
8145248.0,21PA_WQX-WQN0410,41.2719,-77.3269,11.5155,0.0,2460.357,4,,01549700
8152817.0,21PA_WQX-WQN0409,41.4181,-77.0328,2.7477,0.0,453.9195,4,,01550000
8153799.0,21PA_WQX-WQN0401,40.9669,-76.8792,0.7155,0.0,17676.288,4,,01553500
8441253.0,21VASWCB-1BNFS010.34,38.9768,-78.3368,11.4381,0.0,2000.3715,4,,va1BNFS010_34
8441253.0,CBP_WQX-1BNFS010.34,38.97644,-78.33633,11.4381,0.0,2000.3715,4,,va1BNFS010_34
8441303.0,21VASWCB-1BSMT004.60,38.6938,-78.6428,76.0122,0.0,245.9511,4,,va1BSMT004_60
8468559.0,21VASWCB-3-ROB001.90,38.3251,-78.0946,5.8077,0.0,468.4887,4,,va3_ROB001_90
8476948.0,CBP_WQX-TF3.0,38.32236,-77.51806,3.5496,0.0,4134.5622,4,,01668000
8494082.0,21VASWCB-8-MPN054.17,37.8839,-77.165,0.8082,0.0,1560.7935,4,,01674500
8494082.0,CBP_WQX-TF4.0M,37.88389,-77.16528,0.8082,0.0,1560.7935,4,,01674500
8505740.0,21VASWCB-8-NAR005.42,37.85,-77.4281,0.8271,0.0,1196.8155,4,,va8_NAR005_42
8506380.0,21VASWCB-8-PMK082.34,37.7678,-77.3322,7.9677,0.0,2793.7836,4,,01673000
8506380.0,CBP_WQX-TF4.0P,37.7675,-77.3325,7.9677,0.0,2793.7836,4,,01673000
8507516.0,21VASWCB-8-LTL009.54,37.8728,-77.5136,2.7009,0.0,278.1495,4,,va8_LTL009_54
8520749.0,21VASWCB-2-BLP000.79,38.1953,-79.57070000000002,3.2895,0.0,286.1397,4,,va2_BLP000_79
8566737.0,21VASWCB-2-MCM005.12,38.1026,-78.5932,15.9435,0.0,257.0301,4,,va2_MCM005_12
8568309.0,21VASWCB-2-RVN015.97,37.8579,-78.2665,2.4687,0.0,1718.0685,4,,va2_RVN015_97
8575903.0,21VASWCB-2-JMS157.28,37.6706,-78.0869,6.4053,0.0,16195.0401,4,,02035000
8575903.0,CBP_WQX-TF5.0J,37.67111,-78.0858,6.4053,0.0,16195.0401,4,,02035000
8607681.0,21VASWCB-2-DPC005.20,37.2839,-77.8683,4.7079,0.0,410.4846,4,,va2_DPC005_20
8608039.0,21VASWCB-2-APP016.38,37.2253,-77.4764,1.4796,0.0,3475.6569,4,,02041650
8608039.0,CBP_WQX-TF5.0A,37.22445,-77.47555,1.4796,0.0,3475.6569,4,,02041650
9513328.0,NJHDG-25,40.5661,-74.52551,7.9947,0.0,131.841,4,,01403900
22338431.0,USGS-01648010,38.96016667,-77.0420556,19.2591,63.7,171.4914,4,,mdRCM0111
22340331.0,21VASWCB-1AACO014.57,38.8113,-77.2302,1.9359,0.0,62.2764,4,,01654000
22340547.0,CBP_WQX-PMS10,38.90233,-77.06942,19.5057,0.0,30025.0485,4,,dcPMS10
