COMID,Monitoring,lat,lon,AreaSqKM,wshd area,TotDASqKM,Source,GII,WT
2604975.0,21PA_WQX-WQN0301,40.95889999999999,-76.6197,0.0666,0.0,20.0664,5,,
4147376.0,USGS-415804074304101,41.96787006,-74.5109878,5.7627,0.0,47.7144,5,,
4147376.0,USGS-415825074302701,41.9736111,-74.5075,5.7627,0.0,47.7144,5,,
4147376.0,USGS-415828074310701,41.97444444,-74.5186111,5.7627,0.0,47.7144,5,,
4147378.0,USGS-01434112,41.9695366,-74.52098788,0.3447,0.0,7.245,5,,
4507346.0,CBP_WQX-POT1596,39.27208,-77.5479,0.3168,0.0,239.877,5,,
4507346.0,MDDNR-POT1596,39.2721,-77.5479,0.3168,0.0,239.877,5,,
4509204.0,21VASWCB-1ADIF000.86,38.9758,-77.2461,1.6524,0.0,141.2694,5,,
4518742.0,USGS-01553990,40.8528628,-76.8024666,1.5741,18300.0,47372.1786,5,,
4653400.0,21DELAWQ_WQX-109251,39.431,-75.7096,4.9329,0.0,4.9329,5,,
4690227.0,21PA_WQX-WQN0223,40.215,-78.2647,5.9922,0.0,1942.5546,5,,
4709222.0,21PA_WQX-WQN0281,40.3058,-76.8556,2.7081,0.0,31.9014,5,,
4709222.0,CBP_WQX-WQN0281,40.30842,-76.84942,2.7081,0.0,31.9014,5,,
4709276.0,21PA_WQX-WQN0272,40.2869,-76.6778,1.1295,0.0,1253.1555,5,,
4709644.0,21PA_WQX-WQN0269,40.1492,-76.6875,3.6837,0.0,123.5439,5,,
4709644.0,USGS-01573710,40.14930556,-76.68775,3.6837,47.5,123.5439,5,,
4709872.0,21PA_WQX-WQN0278,40.195,-76.5675,11.7828,0.0,58.5198,5,,
4709872.0,USGS-01573695,40.19527778,-76.56777778,11.7828,20.5,58.5198,5,,
4710000.0,CBP_WQX-WQN0202,40.25481,-76.88609,12.609,0.0,62361.1179,5,,
4710552.0,21PA_WQX-WQN0243,40.3442,-77.1942,2.9439,0.0,486.1152,5,,
4722217.0,CBP_WQX-WQN0201,40.05454,-76.5308,0.153,0.0,326.6235,5,,
4724385.0,USGS-01576521,39.9981544,-76.2649583,4.8474,1.77,4.8474,5,,
4724633.0,21PA_WQX-WQN0273,39.9389,-76.3869,10.2015,0.0,1224.8856,5,,
4726049.0,USGS-01576525,39.9898213,-76.248291,3.5703,0.33,3.5703,5,,
4726049.0,USGS-01576529,39.9992655,-76.2641249,3.5703,1.42,3.5703,5,,
4726191.0,21PA_WQX-WQN0259,39.7728,-76.3161,1.3419,0.0,344.7441,5,,
4731607.0,21PA_WQX-WQN0201,40.0286,-76.5167,0.8379,0.0,67326.1875,5,,
4765418.0,USGS-01493112,39.25705556,-75.94013889,17.8344,6.12,17.8344,5,,
5892920.0,USGS-01613030,39.6405833,-78.2189444,7.839,6.68,21.5856,5,,
5894272.0,USGS-01618100,39.48308329999999,-77.8318333,5.3847,16.0,42.5718,5,,
5895480.0,USGS-01616400,39.334625,-78.0534361,12.4092,21.0,60.6258,5,,
6249784.0,NJHDG-1,40.90416,-74.20066,2.8197,0.0,2012.715,5,,
6250768.0,NJHDG-9,40.7835,-74.1615,6.2172,0.0,27.657,5,,
6250926.0,NJHDG-13,40.9561,-74.0288,8.4789,0.0,291.177,5,,
6251026.0,NJHDG-2,40.9212,-74.1755,0.9576,0.0,2039.9211,5,,
6251234.0,NJHDG-7,40.83983,-74.12433,16.5105,0.0,2306.0376,5,,
6251308.0,NJHDG-8,40.78616,-74.14733,10.9719,0.0,2350.9818,5,,
8074860.0,21DELAWQ_WQX-206561,39.034491,-75.483564,1.476,0.0,23.9958,5,,
8076940.0,21DELAWQ_WQX-206041,38.922831,-75.551301,0.9747,0.0,11.5722,5,,
8139706.0,21PA_WQX-WQN0445,41.1244,-77.435,9.9513,0.0,1988.7912,5,,
8153511.0,21PA_WQX-WQN0448,41.2022,-77.2519,14.796,0.0,13555.395,5,,
8153667.0,CBP_WQX-WQN0401,40.96814,-76.8733,8.514,0.0,9.4923,5,,
8391164.0,21DELAWQ_WQX-302031,38.849615,-75.673571,0.1035,0.0,127.1835,5,,
8408255.0,21DELAWQ_WQX-310121,38.521498,-75.13345299999999,4.635,0.0,4.635,5,,
8448556.0,USGS-01640970,39.62843108,-77.4619322,6.318,4.01,10.4337,5,,
8448582.0,USGS-01640965,39.6195424,-77.4663767,6.3117,2.14,6.3117,5,,
8448868.0,USGS-01641510,39.5359337,-77.4463751,1.4031,0.4,1.4031,5,,
