"","COMID"
"1",8391092
"2",8391064
"3",8391054
"4",8391006
"5",8390996
"6",8390974
"7",8391164
"8",8391150
"9",8391130
"10",8390992
"11",8390988
"12",8390998
"13",8391152
"14",8391056
"15",8391052
"16",8391042
"17",8391118
"18",8391134
"19",8391168
"20",8391120
"21",8391086
"22",8391034
"23",8391002
"24",8390982
"25",8390994
"26",8391008
"27",8390980
"28",8390976
"29",8390986
"30",8391158
"31",8391156
"32",8391032
"33",8391030
"34",8391028
"35",8391024
"36",8391020
"37",8391058
"38",8391170
"39",8391070
"40",8391116
"41",8391018
"42",8391000
"43",8391004
"44",8390990
"45",8390978
"46",8391016
"47",8391036
"48",8391040
"49",8391076
"50",8391038
"51",8391022
"52",8391014
"53",8391010
"54",8391026
"55",8391122
"56",8391066
"57",8391012
