"","COMID"
"1",8492938
"2",8492944
"3",8492954
"4",8492956
"5",8494038
"6",8492926
"7",8492922
"8",8492916
"9",8492900
"10",8492864
"11",8492872
"12",8492834
"13",8492824
"14",8492822
"15",8492816
"16",8492806
"17",8492856
"18",8494030
"19",8492860
"20",8492854
"21",8492792
"22",8492814
"23",8492796
"24",8492712
"25",8494018
"26",8492718
"27",8492698
"28",8492754
"29",8492748
"30",8494200
"31",8492940
"32",8492924
"33",8492844
"34",8494182
"35",8494342
"36",8492914
"37",8492898
"38",8492800
"39",8492862
"40",8492832
"41",8492826
"42",8494180
"43",8492760
"44",8492808
"45",8490444
"46",8494170
"47",8490036
"48",8490510
"49",8492910
"50",8492982
"51",8492886
"52",8492966
"53",8492950
"54",8492946
"55",8493014
"56",8492882
"57",8494348
"58",8492896
"59",8492894
"60",8492930
"61",8492906
"62",8494202
"63",8492984
"64",8492970
"65",8492986
"66",8493032
"67",8494356
"68",8494048
"69",8493078
"70",8493102
"71",8493120
"72",8493070
"73",8493036
"74",8493022
"75",8493028
"76",8493012
"77",8493020
"78",25294528
"79",25294530
"80",25294532
"81",8496970
"82",8494188
"83",8494186
"84",8490052
"85",8490018
"86",8492668
"87",8494168
"88",8492810
"89",8494172
"90",8492828
"91",8492706
"92",8492732
"93",8494346
"94",8492674
"95",8492700
"96",8490048
"97",8492666
"98",8490446
"99",8490030
"100",8490514
"101",8492722
"102",8494344
"103",8494024
"104",8494036
"105",8492976
"106",8494354
"107",8492928
"108",8494352
"109",8493098
"110",8493116
"111",8493056
"112",8493072
"113",8493016
"114",8493058
"115",25294524
"116",25294540
"117",8494392
"118",8494190
"119",8494390
"120",8490050
