"","COMID"
"1",22338099
"2",22338089
"3",22338093
"4",22337975
"5",22338085
"6",22338083
"7",22337749
"8",22337729
"9",22337727
"10",22337717
"11",22336429
"12",22337713
"13",22336417
"14",22336407
"15",22336527
"16",22336383
"17",22336379
"18",22336333
"19",22336309
"20",22336305
"21",22336293
"22",22336287
"23",22337741
"24",22338123
"25",22338127
"26",22338107
"27",22338109
"28",22338103
"29",22337739
"30",22336285
"31",22336295
"32",22337977
"33",22338087
"34",22337753
"35",22337439
"36",22336423
"37",22337707
"38",22337513
"39",22337421
"40",22337419
"41",22337415
"42",22337385
"43",22337379
"44",22337371
"45",22337339
"46",22337511
"47",22338095
"48",22338097
"49",22337773
"50",22337769
"51",22337761
"52",22336531
"53",22336349
"54",22336325
"55",22336313
"56",22336289
"57",22336301
"58",22337781
"59",22337783
"60",22343555
"61",22338129
"62",22338105
"63",22337785
"64",22337763
"65",22343551
"66",22338091
"67",22337759
"68",22337747
"69",22337745
"70",22337725
"71",22336431
"72",22336415
"73",22336575
"74",22337709
"75",22336573
"76",22336411
"77",22336409
"78",22336399
"79",22336365
"80",22336363
"81",22336353
"82",22336311
"83",22336317
"84",22336579
"85",22336565
"86",22336563
"87",22336381
"88",22336343
"89",22336307
"90",22336303
"91",22336291
"92",22336335
"93",22336323
"94",22336385
"95",22336403
"96",22336533
"97",22337715
"98",22337719
"99",22338113
"100",22337751
"101",22337775
"102",22338101
"103",22343553
"104",22338115
"105",22338125
"106",22337737
"107",22337755
"108",22337731
"109",22337723
"110",22337457
"111",22338427
"112",22336425
"113",22337705
"114",22337417
"115",22337413
"116",22337377
"117",22337337
"118",22337333
"119",22337375
"120",22337355
"121",22337347
"122",22337387
"123",22337423
"124",22337433
"125",22337533
"126",22337757
"127",22337735
"128",22336419
"129",22336583
"130",22336525
"131",22336395
"132",22336397
"133",22336393
"134",22336391
"135",22336387
"136",22336361
"137",22336357
"138",22336347
"139",22336319
"140",22336331
"141",22336355
"142",22336367
"143",22337711
"144",22336299
"145",22336297
"146",22336315
"147",22336561
"148",22336577
"149",22336321
"150",22336327
"151",22336341
"152",22336351
"153",22337771
"154",22337789
"155",22337765
"156",22337767
"157",22337787
"158",22337733
"159",22337353
"160",22337349
"161",22336421
"162",22337721
"163",22337743
"164",22336427
"165",22336581
"166",22336405
"167",22336529
"168",22336401
"169",22336389
"170",22336377
"171",22336373
"172",22336345
"173",22336359
"174",22336339
"175",22336329
"176",22337779
"177",22337777
"178",22336569
"179",22336567
"180",22336413
"181",22336435
"182",22336371
"183",22336369
"184",22336375
"185",22336337
"186",22336571
"187",22336433
