"","COMID"
"1",10055254
"2",10053648
"3",10054700
"4",10053626
"5",10053616
"6",10054690
"7",10053600
"8",10054996
"9",10053632
"10",10055244
"11",10055246
"12",10055250
"13",10055238
"14",10055284
"15",10055286
"16",10054698
"17",10055522
"18",10055528
"19",10056142
"20",10056144
"21",10057894
"22",10054694
"23",10054702
"24",10053640
"25",10053832
"26",10053646
"27",10057942
"28",10055270
"29",10055272
"30",10054688
"31",10053624
"32",10053698
"33",10054730
"34",10057896
"35",10055008
"36",10054726
"37",10053712
"38",10055886
"39",10053784
"40",10055888
"41",10053488
"42",10053470
"43",10055484
"44",10055288
"45",10055302
"46",10055304
"47",10055290
"48",10055236
"49",10055292
"50",10055294
"51",10055296
"52",10055298
"53",10055300
"54",10055442
"55",10055444
"56",10055446
"57",10055448
"58",10055450
"59",10055452
"60",10055476
"61",10055478
"62",10055454
"63",10053454
"64",10053458
"65",10055480
"66",10053460
"67",10055482
"68",10055486
"69",10055526
"70",10055524
"71",10055530
"72",10055532
"73",10055534
"74",10055242
"75",10055552
"76",10055542
"77",10055540
"78",10055554
"79",10055556
"80",10055558
"81",10055560
"82",10055562
"83",10055240
"84",10055564
"85",10055566
"86",10055248
"87",10055588
"88",10055586
"89",10057960
"90",10055598
"91",10055600
"92",10055610
"93",10055612
"94",10055656
"95",10055658
"96",10055660
"97",10055662
"98",10056134
"99",10056136
"100",10056140
"101",10056138
"102",10056276
"103",10056108
"104",10056110
"105",10053880
"106",10053760
"107",10056170
"108",10053850
"109",10053706
"110",10054746
"111",10055622
"112",27081634
"113",10055642
"114",10055644
"115",10053804
"116",10055026
"117",10053748
"118",10054774
"119",10053756
"120",10055028
"121",10054550
"122",10055458
"123",10055456
"124",10055462
"125",10055460
"126",10055466
"127",10055464
"128",10055470
"129",10055468
"130",10055472
"131",10055474
"132",10055490
"133",10055492
"134",10057950
"135",10055488
"136",10055494
"137",10057952
"138",10055548
"139",10055544
"140",10055538
"141",10055546
"142",10055536
"143",10057956
"144",10055550
"145",10055590
"146",10055592
"147",10055594
"148",10055596
"149",10055602
"150",10055604
"151",10055606
"152",10055608
"153",10055614
"154",10055616
"155",10055618
"156",10055620
"157",10055626
"158",10055628
"159",10055630
"160",10055634
"161",10055638
"162",10055636
"163",10055632
"164",10055664
"165",10055666
"166",10055668
"167",10056172
"168",10056274
"169",10056272
"170",10055624
"171",10055640
"172",10056090
"173",10055500
"174",10055498
"175",10056088
"176",10056092
"177",10055496
"178",10055652
"179",10055648
"180",10055646
"181",10055654
"182",10055650
