"","COMID"
"1",8503678
"2",8514444
"3",8503656
"4",8503782
"5",8503666
"6",8503870
"7",8503862
"8",8503820
"9",8503788
"10",8503806
"11",8503778
"12",8503662
"13",8503916
"14",8503638
"15",8503630
"16",8503934
"17",8503764
"18",8508022
"19",8508006
"20",8507986
"21",8508010
"22",8508012
"23",8508008
"24",8507958
"25",8507970
"26",8507954
"27",8507056
"28",8507950
"29",8507004
"30",8507676
"31",8507678
"32",8506986
"33",8506930
"34",8507668
"35",8507670
"36",8508188
"37",8507664
"38",8507660
"39",8506830
"40",8507658
"41",8506890
"42",8506886
"43",8506838
"44",8506806
"45",8506772
"46",8506752
"47",8506660
"48",8506640
"49",8506630
"50",8506564
"51",8507608
"52",8506588
"53",8506596
"54",8507612
"55",8507616
"56",8506626
"57",8507618
"58",8506658
"59",8506614
"60",8506634
"61",8506560
"62",8506512
"63",8506522
"64",8507588
"65",8506442
"66",8506446
"67",8506434
"68",8506380
"69",8506068
"70",8506096
"71",8506098
"72",8506106
"73",8506124
"74",8506298
"75",8506290
"76",8506284
"77",8506186
"78",8506166
"79",8506136
"80",8506114
"81",8506116
"82",8506070
"83",8505988
"84",8505976
"85",8505990
"86",8505984
"87",8505942
"88",8505914
"89",8505908
"90",8505886
"91",8505862
"92",8505860
"93",8505848
"94",8505840
"95",8505814
"96",8505740
"97",8505638
"98",8505614
"99",8505586
"100",8505564
"101",8505512
"102",8505474
"103",8505440
"104",8505432
"105",8505412
"106",8505426
"107",8505464
"108",8505466
"109",8505428
"110",8505420
"111",8507498
"112",8505314
"113",8505294
"114",8505290
"115",8505262
"116",8505228
"117",8505218
"118",8505222
"119",8505202
"120",8505194
"121",8505186
"122",8505168
"123",8505164
"124",8505124
"125",8505022
"126",8504938
"127",8504944
"128",8504986
"129",8504990
"130",8504988
"131",8504974
"132",8504892
"133",8504882
"134",8504838
"135",8504830
"136",8504802
"137",8504796
"138",8504734
"139",8504736
"140",8504712
"141",8501794
"142",8504700
"143",8501764
"144",8501768
"145",8502108
"146",8501738
"147",8501552
"148",8501920
"149",8502580
"150",8502568
"151",8502564
"152",8502562
"153",8502572
"154",8502582
"155",8502586
"156",8503800
"157",8508034
"158",8506158
"159",8507680
"160",8507046
"161",8503612
"162",8503950
"163",8503624
"164",8503948
"165",8503952
"166",8503652
"167",8503674
"168",8503700
"169",8503642
"170",8503686
"171",8503718
"172",8503758
"173",8503728
"174",8503690
"175",8503712
