"","COMID"
"1",4505596
"2",4507346
"3",4505612
"4",4505618
"5",4507164
"6",4505622
"7",4505634
"8",4505648
"9",4505686
"10",4505718
"11",4505786
"12",4505838
"13",4505894
"14",4505900
"15",4505966
"16",4506006
"17",4506022
"18",4506046
"19",4506040
"20",4505982
"21",4505994
"22",4507220
"23",4506008
"24",4505972
"25",4505866
"26",4505930
"27",4505896
"28",4507416
"29",4505872
"30",4505834
"31",4507208
"32",4505660
"33",4505638
"34",4505624
"35",4505626
"36",4505628
"37",4507156
"38",4505598
"39",4505620
"40",4505608
"41",4507162
"42",4505604
"43",4505738
"44",4505768
"45",4505752
"46",4505750
"47",4505698
"48",4505968
"49",4505988
"50",4506004
"51",4507444
"52",4506010
"53",4506078
"54",4506084
"55",4507214
"56",4506000
"57",4506082
"58",4506096
"59",4506114
"60",4506120
"61",4506060
"62",4507436
"63",4506164
"64",4507442
"65",4506142
"66",4505984
"67",4505934
"68",4505936
"69",4506014
"70",4505848
"71",4505832
"72",4505788
"73",4505676
"74",4505776
"75",4505650
"76",4507166
"77",4505610
"78",4505606
"79",4507160
"80",4507158
"81",4505636
"82",4505668
"83",4505794
"84",4505808
"85",4505708
"86",4505748
"87",4505728
"88",4507404
"89",4505742
"90",4505850
"91",4505814
"92",4505802
"93",4505696
"94",4507198
"95",4507212
"96",4505942
"97",4505990
"98",4506012
"99",4506160
"100",4506172
"101",4506122
"102",4507438
"103",4507440
"104",4505918
"105",4505980
"106",4505700
"107",4505712
"108",4505760
"109",4507204
"110",4505780
"111",4505704
