"","COMID"
"1",10065359
"2",10065331
"3",10064649
"4",10064655
"5",10064651
"6",10064645
"7",10064623
"8",10064637
"9",10064627
"10",10066199
"11",10067267
"12",10064625
"13",10066191
"14",10067081
"15",10067077
"16",10066141
"17",10066121
"18",10066125
"19",10066115
"20",10066127
"21",10066131
"22",10067073
"23",10067067
"24",10067069
"25",10066017
"26",10066011
"27",10065997
"28",10065983
"29",10067041
"30",10065905
"31",10067019
"32",10065911
"33",10065891
"34",10066999
"35",10065799
"36",10066983
"37",10062077
"38",10061167
"39",10061169
"40",10061171
"41",10061185
"42",10061189
"43",10061199
"44",10061183
"45",10061153
"46",10062075
"47",10061149
"48",10066979
"49",10062189
"50",10062275
"51",10062173
"52",10061845
"53",10061847
"54",10061839
"55",10062161
"56",10062153
"57",10062149
"58",10062151
"59",10062145
"60",10061777
"61",10062141
"62",10061771
"63",10061761
"64",10061743
"65",10061741
"66",10061731
"67",10061713
"68",10061709
"69",10061697
"70",10061683
"71",10061685
"72",10061687
"73",10061689
"74",10061627
"75",10062129
"76",10061591
"77",10061593
"78",10061585
"79",10061581
"80",10061557
"81",10061549
"82",10061529
"83",10061493
"84",10061457
"85",10061453
"86",10061449
"87",10062105
"88",10062103
"89",10061391
"90",10062095
"91",10061309
"92",10061289
"93",10061279
"94",10061253
"95",10061237
"96",10061231
"97",10061203
"98",10061855
"99",10061315
"100",10061331
"101",10061365
"102",10062115
"103",10061637
"104",10061645
"105",10061693
"106",10061663
"107",10061649
"108",10061667
"109",10061755
"110",10072673
"111",10072675
"112",10064683
"113",10072847
"114",10064685
"115",10065361
"116",10064669
"117",932080021
"118",932080022
"119",10062253
"120",10061757
"121",10061639
"122",10061633
"123",10062119
"124",10061311
"125",27612328
"126",10064653
"127",10072953
"128",10064329
"129",10064319
"130",10064313
"131",10064549
"132",10061899
"133",10065797
"134",10064305
"135",10061961
"136",10061197
"137",10062307
"138",10066117
"139",10067257
"140",10066111
"141",10066075
"142",10066003
"143",10065919
"144",10067011
"145",10065875
"146",10061951
"147",10066989
"148",10062295
"149",10067049
"150",10067259
"151",10066035
"152",10066043
"153",10066023
"154",10061691
"155",10061675
"156",10061561
"157",10061437
"158",10067065
"159",10066025
"160",10065977
"161",10061925
"162",10061959
"163",10065855
"164",10063641
"165",10064665
"166",10063625
"167",10063629
"168",10063635
"169",10063657
"170",10063651
"171",10061141
"172",10061191
"173",10062199
"174",10061137
"175",10061129
"176",10062065
"177",10067015
"178",10061921
"179",10065789
"180",10061957
"181",10066987
"182",10067005
"183",10065909
"184",10067033
"185",10065949
"186",10065951
"187",10065947
"188",10065933
"189",10067029
"190",10067003
"191",10066997
"192",10061939
"193",10065829
"194",10061937
"195",10061239
"196",10061323
"197",10061329
"198",10061333
"199",10061567
"200",10061653
"201",10061661
"202",10061665
"203",10064347
"204",10064677
"205",10064673
"206",10064671
"207",10064675
"208",10064349
"209",10063617
"210",10072955
"211",10064661
"212",10064663
"213",10064657
"214",10064659
"215",10063619
"216",10063603
"217",10066465
"218",10063599
"219",10063577
"220",10063593
"221",10066363
"222",10063587
"223",10072951
"224",10064647
"225",10072949
"226",10066249
"227",10064345
"228",10072945
"229",10063545
"230",10066297
"231",10064631
"232",10063575
"233",10066355
"234",10067075
"235",10066065
"236",10065913
"237",10065859
"238",10062185
"239",10061895
"240",10067055
"241",10065881
"242",10067047
"243",10066995
"244",10061949
"245",10066981
"246",10062281
"247",10061923
"248",10073061
"249",10061911
"250",10062267
"251",10062277
"252",10061901
"253",10062261
"254",10061859
"255",10062293
"256",10061843
"257",10061775
"258",10061791
"259",10062251
"260",10062249
"261",10062163
"262",10061769
"263",10062147
"264",10061729
"265",10062143
"266",10061701
"267",10061737
"268",10062133
"269",10062247
"270",10061613
"271",10061643
"272",10061603
"273",10061735
"274",10061721
"275",10061705
"276",10061725
"277",10061711
"278",10061707
"279",10061681
"280",10061669
"281",10061657
"282",10061611
"283",10061679
"284",10061589
"285",10061547
"286",10061455
"287",10061431
"288",10061393
"289",10061381
"290",10061389
"291",10061363
"292",10061307
"293",10061287
"294",10061281
"295",10061277
"296",10061269
"297",10061251
"298",10061265
"299",10061145
"300",10061165
"301",10062201
"302",10061143
"303",10061173
"304",10062203
"305",10061163
"306",10061175
"307",10061179
"308",10062207
"309",10062205
"310",10061139
"311",10061147
"312",10061155
"313",10061201
"314",10061177
"315",10061195
"316",10061181
"317",10061157
"318",10061221
"319",10061243
"320",10062209
"321",10062211
"322",10061205
"323",10061223
"324",10061275
"325",10061261
"326",10061193
"327",10061217
"328",10061219
"329",10061215
"330",10061377
"331",10061379
"332",10061375
"333",10062241
"334",10061415
"335",10061425
"336",10062235
"337",10062243
"338",10062239
"339",10061417
"340",10062099
"341",10061371
"342",10061369
"343",10061403
"344",10062107
"345",10061407
"346",10061481
"347",10061409
"348",10061419
"349",10061489
"350",10061421
"351",10061583
"352",10061579
"353",10061473
"354",10061573
"355",10061571
"356",10061541
"357",10061527
"358",10061513
"359",10061519
"360",10061505
"361",10061491
"362",10061471
"363",10061499
"364",10061461
"365",10061533
"366",10061605
"367",10061623
"368",10061607
"369",10061599
"370",10061587
"371",10061631
"372",10061629
"373",10061621
"374",10061535
"375",10061507
"376",10061485
"377",10061451
"378",10061443
"379",10061463
"380",10061465
"381",10062123
"382",10061641
"383",10061759
"384",10061719
"385",10061787
"386",10061797
"387",10061867
"388",10062131
"389",10062137
"390",10061773
"391",10061779
"392",10061815
"393",10061801
"394",10062155
