"","COMID"
"1",10055216
"2",10055214
"3",10054858
"4",10056006
"5",10055258
"6",10057938
"7",10055256
"8",10054636
"9",10055972
"10",10054116
"11",10055974
"12",10057934
"13",10055220
"14",10057936
"15",10055222
"16",10057940
"17",10055260
"18",10055720
"19",10055726
"20",10055732
"21",10055728
"22",10055730
"23",10054892
"24",10054918
"25",10055226
"26",10055724
"27",10056016
"28",10056022
"29",10056018
"30",10055982
"31",10057970
"32",10054908
"33",10055042
"34",10053844
"35",10054608
"36",10054630
"37",10055062
"38",10054108
"39",10056020
"40",10054144
"41",10054140
"42",10054208
"43",10057924
"44",10054130
"45",10054922
"46",10054190
"47",10053944
"48",10054602
"49",10054860
"50",10055180
"51",10057920
"52",10055178
"53",10055182
"54",10054916
"55",10055738
"56",10055736
"57",10055224
"58",10055734
"59",10055218
"60",10055740
"61",10055742
"62",10057964
"63",10056208
"64",10056210
"65",10055916
"66",10055990
"67",10055948
"68",10055992
"69",10055988
"70",10055946
"71",10055950
"72",10055952
"73",10054852
"74",10055984
"75",10055986
"76",10055968
"77",10055966
"78",10054890
"79",10054894
"80",10053938
"81",10056004
"82",10056002
"83",10055252
"84",10057962
"85",10055722
"86",10054282
"87",10054212
"88",10054638
"89",10054920
"90",10053890
"91",10057918
"92",10054854
"93",10055158
"94",10054548
"95",10054782
"96",10054788
"97",10057910
"98",10057912
"99",10054590
"100",10055918
"101",10055914
"102",10055940
"103",10055944
"104",10055942
"105",10053876
"106",10055938
"107",10053874
"108",10055120
"109",10054084
"110",10056196
"111",10054136
"112",10055054
"113",10054604
"114",10054888
"115",10054040
"116",10055744
"117",10055746
"118",10055922
"119",10055926
"120",10055924
"121",10055928
"122",10055920
"123",10053946
"124",10055970
"125",10055994
"126",10057966
"127",10055976
"128",10055978
"129",10057968
"130",10055980
"131",10055748
"132",10053910
"133",10053990
"134",10056194
"135",10055754
"136",10055752
"137",10055750
"138",10055160
