"","COMID"
"1",8467597
"2",8467601
"3",8467611
"4",8466993
"5",8467603
"6",8467657
"7",8466989
"8",8466977
"9",8466979
"10",8466973
"11",8466967
"12",8466961
"13",8466953
"14",8466937
"15",8466915
"16",8466907
"17",8466897
"18",8466875
"19",8466877
"20",8466923
"21",8466933
"22",8466935
"23",8466965
"24",8467565
"25",8466849
"26",8466839
"27",8466833
"28",8466793
"29",8466783
"30",8466759
"31",8466701
"32",8466693
"33",8465353
"34",8466687
"35",8465329
"36",8465429
"37",8465259
"38",8465239
"39",8465231
"40",8465221
"41",8465195
"42",8465187
"43",8465159
"44",8465135
"45",8465119
"46",8465077
"47",8465071
"48",8465065
"49",8465043
"50",8465027
"51",8465025
"52",8465015
"53",8464983
"54",8464979
"55",8464953
"56",8464955
"57",8464933
"58",8464911
"59",8465421
"60",8464883
"61",8464879
"62",8464887
"63",8464885
"64",8464871
"65",8464877
"66",8464875
"67",8464865
"68",8464855
"69",8464839
"70",8465791
"71",8464829
"72",8466031
"73",166178644
"74",166178643
"75",8466029
"76",8476998
"77",8477022
"78",8477002
"79",8476994
"80",8476978
"81",8476962
"82",8476958
"83",8476948
"84",8476918
"85",8476950
"86",8476942
"87",8476924
"88",8477240
"89",8476932
"90",8476904
"91",8476926
"92",8476902
"93",8476898
"94",8484052
"95",8484054
"96",8476930
"97",8484062
"98",8476934
"99",8477012
"100",8484168
"101",8477024
"102",8476940
"103",8476910
"104",8471043
"105",8467615
"106",8466975
"107",8466847
"108",8466825
"109",8467563
"110",8466739
"111",8466671
"112",8466699
"113",8466659
"114",8465355
"115",8466645
"116",8465313
"117",8465293
"118",8465271
"119",8465241
"120",8465427
"121",8465151
"122",8465147
"123",8464881
"124",8464849
"125",8464843
"126",8464819
"127",8464807
"128",8464803
"129",8465415
"130",8464795
"131",8464793
"132",8464773
"133",8464753
"134",8464725
"135",8464723
"136",8464713
"137",8464707
"138",8464699
"139",8464693
"140",8464675
"141",8464669
"142",8464645
"143",8464647
"144",8464641
"145",8464827
"146",8464815
"147",8465407
"148",8464777
"149",8464775
"150",8464763
"151",8464741
"152",8464735
"153",8465755
"154",8465733
"155",8466059
"156",8466061
"157",8465781
"158",8465769
"159",8465197
"160",8465193
"161",8465181
"162",8465177
"163",8465167
"164",8465131
"165",8465101
"166",8465097
"167",8465423
"168",8465827
"169",8465075
"170",8465829
"171",8465841
"172",8465863
"173",8465853
"174",8466043
"175",8466795
"176",8466813
"177",8466809
"178",8466797
"179",8466749
"180",8466747
"181",8466733
"182",8466721
"183",8466773
"184",8466779
"185",8466763
"186",8466745
"187",8466731
"188",8466703
"189",8466681
"190",8466667
"191",8468901
"192",8466675
"193",8468199
"194",8468769
"195",8468171
"196",8467189
"197",8471049
"198",8467613
"199",8467217
"200",8467219
"201",8467139
"202",8467143
"203",8467153
"204",8467211
"205",8467213
"206",8467221
"207",8467205
"208",8467193
"209",8467161
"210",8467147
"211",8467135
"212",8467571
"213",8467567
"214",8467055
"215",8467179
"216",8467177
"217",8467145
"218",8467133
"219",8467095
"220",8467091
"221",8467097
"222",8467099
"223",8467071
"224",8467085
"225",8467075
"226",8467043
"227",8467045
"228",8467101
"229",8467171
"230",8467183
"231",8467209
"232",8467197
"233",8467225
"234",8468499
"235",8467227
"236",8468519
"237",8468555
"238",8468557
"239",8468571
"240",8468569
"241",8468611
"242",8468647
"243",8468653
"244",8468797
"245",8468687
"246",8468811
"247",8468801
"248",8468669
"249",8468649
"250",8468791
"251",8468633
"252",8468615
"253",8468601
"254",8468563
"255",8468509
"256",8468467
"257",8468465
"258",8468441
"259",8468321
"260",8468283
"261",8464977
"262",8464921
"263",8464901
"264",8465273
"265",8465283
"266",8465281
"267",8467077
"268",8467659
"269",8467037
"270",8467009
"271",8466951
"272",8466891
"273",8466821
"274",8466741
"275",8466719
"276",8466661
"277",8466685
"278",8465223
"279",8465215
"280",8465461
"281",8465235
"282",8466901
"283",8466787
"284",8466771
"285",8466711
"286",8465263
"287",8465249
"288",8465139
"289",8465087
"290",8465061
"291",8465049
"292",8464731
"293",8464719
"294",8464691
"295",8464683
"296",8464663
"297",8464659
"298",8464651
"299",8464653
"300",8464639
"301",8465737
"302",8465505
"303",8465731
"304",8467187
"305",8467617
"306",8468189
"307",8465365
"308",8466649
"309",8465363
"310",8466971
"311",8466911
"312",8466865
"313",8466781
"314",8467633
"315",8466757
"316",8467561
"317",8465145
"318",8465125
"319",8465237
"320",8465495
"321",8465229
"322",8465183
"323",8465157
"324",8465079
"325",8465133
"326",8465103
"327",8465069
"328",8465037
"329",8465041
"330",8465023
"331",8465021
"332",8465007
"333",8464989
"334",8464975
"335",8464963
"336",8464937
"337",8464927
"338",8464915
"339",8464891
"340",8464837
"341",8465419
"342",8465443
"343",8464785
"344",8464981
"345",8464939
"346",8464913
"347",8465483
"348",8464907
"349",8464867
"350",8464863
"351",8464873
"352",8464861
"353",8464859
"354",8464831
"355",8464825
"356",8465775
"357",8465789
"358",8464869
"359",8464899
"360",8464897
"361",8464905
"362",8464909
"363",8464895
"364",8464893
"365",8464945
"366",8464947
"367",8464943
"368",8464925
"369",8464967
"370",8465487
"371",8465001
"372",8465017
"373",8465045
"374",8465067
"375",8465121
"376",8465331
"377",8466695
"378",8468163
"379",8466691
"380",8466777
"381",8466841
"382",8466863
"383",8466879
"384",8466917
"385",8466931
"386",8466997
"387",8466969
"388",8466921
"389",8467005
"390",8466899
"391",8467007
"392",8466963
"393",8467011
"394",8466991
"395",8467107
"396",8467599
"397",8465759
"398",8466063
"399",8465753
"400",8466065
"401",8464643
"402",8467655
"403",8467569
"404",8467653
"405",8468823
"406",8466069
"407",8468159
"408",8465875
"409",8468175
"410",8465347
"411",8465319
"412",8466627
"413",8465345
"414",8465463
"415",25342185
"416",8468837
"417",8468835
"418",8468831
"419",8465449
"420",8465451
"421",166178645
"422",8477228
"423",8477004
"424",8477260
"425",8477038
"426",8477244
"427",8477230
"428",8476786
"429",8476778
"430",8476214
"431",8476888
"432",8477060
"433",8477058
"434",8477062
"435",8476784
"436",8476218
"437",8476766
"438",8476182
"439",8476158
"440",8476074
"441",8476938
"442",8476072
"443",8476050
"444",8476748
"445",8476098
"446",8476960
"447",8476100
"448",8476114
"449",8476124
"450",8476000
"451",8477262
"452",8476144
"453",8476992
"454",8476084
"455",8477238
"456",8476946
"457",8476034
"458",8476044
"459",8476052
"460",8476018
"461",8476922
"462",8476002
"463",8475988
"464",8476038
"465",8477266
"466",8476212
"467",8477020
"468",8476296
"469",8476118
"470",8476112
"471",8476964
"472",8476974
"473",8476764
"474",8476762
"475",8476142
"476",8476750
"477",8476914
"478",8476954
"479",8476060
"480",8476066
"481",8476092
"482",8476068
"483",8476076
"484",8476088
"485",8476006
"486",8476928
"487",8476012
"488",8476046
"489",8475996
"490",8476908
"491",8476022
"492",8476920
"493",8476020
"494",8476912
"495",8476014
"496",8476010
"497",8476132
"498",8476976
"499",8477210
"500",8476190
"501",8477232
"502",8476200
"503",8477010
"504",8476202
"505",8476986
"506",8475986
"507",8475994
"508",8476040
"509",8477250
"510",8476026
"511",8477264
"512",8476042
"513",8477248
"514",8476032
"515",8475964
"516",8475998
"517",8476906
"518",8475968
"519",8476894
"520",8475974
"521",8475972
"522",8475970
"523",8476896
"524",8475982
"525",8476900
"526",8476064
"527",8476936
"528",8476916
"529",8476030
"530",8475980
"531",8476058
"532",8477042
"533",8477048
"534",8476944
"535",8476952
"536",8465367
"537",8466641
"538",8465143
"539",8464729
"540",8464701
"541",8465765
"542",8465099
"543",8465093
"544",8465053
"545",8465031
"546",8465013
"547",8465055
"548",8465815
"549",8465823
"550",8465817
"551",8465811
"552",8465805
"553",8465807
"554",8465809
"555",8465861
"556",8465847
"557",8465845
"558",8466047
"559",8466045
"560",8465169
"561",8465175
"562",8465189
"563",8465207
"564",8465209
"565",8465205
"566",8465201
"567",8465851
"568",8466775
"569",8466689
"570",8468179
"571",8468183
"572",8468197
"573",8468223
"574",8468227
"575",8467031
"576",8467025
"577",8467021
"578",8467003
"579",8466945
"580",8466925
"581",8466889
"582",8467639
"583",8467181
"584",8467169
"585",8467125
"586",8467115
"587",8468903
"588",8467083
"589",8468403
"590",8468381
"591",8468377
"592",8468309
"593",8468333
"594",8468565
"595",8468559
"596",8468503
"597",8468459
"598",8468481
"599",8468477
"600",8468409
"601",8468413
"602",8468407
"603",8468367
"604",8468775
"605",8468273
"606",8468269
"607",8468247
"608",8468245
"609",8468225
"610",8468209
"611",8466053
"612",8468643
"613",8468645
"614",8468789
"615",8468607
"616",8468603
"617",8468573
"618",8468505
"619",8468433
"620",8468785
"621",8468695
"622",8468697
"623",8468701
"624",8468717
"625",8468721
"626",8468815
"627",8467105
"628",8467195
"629",8467237
"630",8467257
"631",8467303
"632",8467343
"633",8467347
"634",8467373
"635",8467399
"636",8467421
"637",8467435
"638",8467441
"639",8467451
"640",8467583
"641",8467175
"642",8467573
"643",8467625
"644",8467287
"645",8467353
"646",8466823
"647",8466805
"648",8466801
"649",8466753
"650",8468665
"651",8468651
"652",8465171
"653",8465165
"654",8465155
"655",8468629
"656",8468577
"657",8468527
"658",8468551
"659",8466727
"660",8466679
"661",8466635
"662",8465343
"663",8465339
"664",8465341
"665",8465467
"666",8465291
"667",8465499
"668",8467215
"669",8467121
"670",8467059
"671",8467637
"672",8464715
"673",8464687
"674",8466725
"675",8466715
"676",8466653
"677",8466633
"678",8466623
"679",8466625
"680",8465323
"681",8465303
"682",8465299
"683",8465305
"684",8465307
"685",8465503
"686",8467203
"687",8467307
"688",8468679
"689",8468681
"690",8468699
"691",8468691
"692",8468685
"693",8466057
"694",8468663
"695",8468703
"696",8468795
"697",8467231
"698",8467285
"699",8465411
"700",8464799
"701",8464791
"702",8464781
"703",8464767
"704",8464755
"705",8464749
"706",8464739
"707",8464711
"708",8468285
"709",8468239
"710",8468275
"711",8464985
"712",8465095
"713",8468655
"714",8467137
"715",8467155
"716",8467159
"717",8467065
"718",8467029
"719",8467053
"720",8466981
"721",8467131
"722",8467093
"723",8467061
"724",8467089
"725",8467073
"726",8467027
"727",8467069
"728",8467067
"729",8466995
"730",8466985
"731",8466943
"732",8466929
"733",8467595
"734",8466905
"735",8466867
"736",8467103
"737",8467109
"738",8467127
"739",8467041
"740",8466957
"741",8466947
"742",8468315
"743",8466873
"744",8467129
"745",8467185
"746",8467623
"747",8468495
"748",8468521
"749",8468583
"750",8468585
"751",8468537
"752",8468855
"753",8468525
"754",8468799
"755",8468667
"756",8468631
"757",8468597
"758",8468627
"759",8468473
"760",8468335
"761",8468313
"762",8468351
"763",8468443
"764",8468469
"765",8468511
"766",8468567
"767",8468533
"768",8468515
"769",8468375
"770",8468773
"771",8468805
"772",8468689
"773",8468639
"774",8468635
"775",8468589
"776",8468617
"777",8468637
"778",8468587
"779",8468593
"780",8468591
"781",8468853
"782",8468541
"783",8467245
"784",8467243
"785",8467049
"786",8467087
"787",8467157
"788",8467201
"789",8467241
"790",8467173
"791",8467149
"792",8467207
"793",8467223
"794",8467259
"795",8467269
"796",8467289
"797",8467293
"798",8467301
"799",8467327
"800",8467331
"801",8467575
"802",8467581
"803",8467391
"804",8467255
"805",8467141
"806",8467239
"807",8467253
"808",8467297
"809",8467577
"810",8466855
"811",8466737
"812",8465371
"813",8466669
"814",8465369
"815",8466651
"816",8465351
"817",8465311
"818",8465457
"819",8465459
"820",8465361
"821",8466789
"822",8466881
"823",8466829
"824",8466853
"825",8466735
"826",8466819
"827",8466717
"828",8466683
"829",8466643
"830",8467593
"831",8466743
"832",8466785
"833",8466769
"834",8466713
"835",8466729
"836",8467559
"837",8466647
"838",8467555
"839",8465357
"840",8465317
"841",8465309
"842",8465497
"843",8465431
"844",8465255
"845",8465219
"846",8465213
"847",8465161
"848",8465127
"849",8465085
"850",8465425
"851",8465109
"852",8465243
"853",8465433
"854",8465315
"855",8465247
"856",8465047
"857",8465063
"858",8465089
"859",8465141
"860",8465081
"861",8465035
"862",8465039
"863",8465005
"864",8465019
"865",8465009
"866",8464995
"867",8464935
"868",8464949
"869",8464889
"870",8464835
"871",8464809
"872",8464817
"873",8465445
"874",8464917
"875",8464929
"876",8465481
"877",8464987
"878",8464919
"879",8465485
"880",8464903
"881",8465479
"882",8464847
"883",8464841
"884",8464811
"885",8465417
"886",8464771
"887",8464727
"888",8464667
"889",8464665
"890",8464673
"891",8464671
"892",8464677
"893",8464695
"894",8464697
"895",8464705
"896",8464721
"897",8464733
"898",8464761
"899",8464797
"900",8465413
"901",8464821
"902",8464845
"903",8464853
"904",8464823
"905",8465477
"906",8464833
"907",8464857
"908",8464813
"909",8465409
"910",8464787
"911",8464765
"912",8464745
"913",8464717
"914",8464689
"915",8464661
"916",8465473
"917",8464657
"918",8464649
"919",8464655
"920",8464685
"921",8464743
"922",8465475
"923",8464779
"924",8465405
"925",8465763
"926",8465785
"927",8464973
"928",8464951
"929",8464961
"930",8464965
"931",8465455
"932",8465453
"933",8464923
"934",8465185
"935",8465179
"936",8465173
"937",8465129
"938",8464999
"939",8465073
"940",8465831
"941",8465837
"942",8468181
"943",8465877
"944",8468201
"945",8465083
"946",8465113
"947",8465115
"948",8465117
"949",8465261
"950",8465275
"951",8466709
"952",8466705
"953",8466673
"954",8466697
"955",8466665
"956",8466663
"957",8468173
"958",8468155
"959",8465867
"960",8465871
"961",8468279
"962",8468277
"963",8465873
"964",8468169
"965",8468207
"966",8468185
