"","COMID"
"1",8523681
"2",8523685
"3",8523683
"4",8523675
"5",8523695
"6",8523679
"7",8523899
"8",8523677
"9",8523697
"10",8523699
"11",8523689
"12",8523691
"13",8523693
"14",8523901
"15",8523891
"16",8523659
"17",8523655
"18",8523687
"19",8523757
"20",8523657
"21",8523647
"22",8523653
"23",8523669
"24",8523649
"25",8523651
"26",8523671
"27",8523879
"28",8523673
"29",8523667
"30",8523663
"31",8523661
"32",8523665
"33",8523739
"34",8523735
"35",8523737
"36",8523751
"37",8523755
"38",8523837
"39",8523753
"40",8523731
"41",8523733
"42",8523841
"43",8523745
"44",8523711
"45",8523707
"46",8523709
"47",8523713
"48",8523715
"49",8523747
"50",8523741
"51",8523601
"52",8523595
"53",8523591
"54",8523589
"55",8523585
"56",8523579
"57",8523575
"58",8523749
"59",8523569
"60",8523571
"61",8523547
"62",8523541
"63",8523559
"64",8523561
"65",8523549
"66",8523553
"67",8523567
"68",8523539
"69",8523527
"70",8523531
"71",8523535
"72",8523523
"73",8523507
"74",8523503
"75",8523499
"76",8523633
"77",8523495
"78",8523491
"79",8523493
"80",8523483
"81",8522177
"82",8523481
"83",8522125
"84",8522081
"85",8522071
"86",8523321
"87",8522045
"88",8522061
"89",8522053
"90",8523471
"91",8522037
"92",8522065
"93",8522089
"94",8522153
"95",8522169
"96",8522149
"97",8522191
"98",8522219
"99",8523331
"100",8522251
"101",8522273
"102",8522275
"103",8524429
"104",932080019
"105",8525589
"106",932080020
"107",8522193
"108",8522157
"109",8523327
"110",8524321
"111",8522133
"112",8523319
"113",8522015
"114",8522007
"115",8521995
"116",8521993
"117",8524201
"118",8521991
"119",8521963
"120",8521959
"121",8521947
"122",8521941
"123",8521937
"124",8521929
"125",8521925
"126",8521915
"127",8521911
"128",8521885
"129",8521867
"130",8521865
"131",8521857
"132",8521845
"133",8521811
"134",8521795
"135",8521807
"136",8521815
"137",8521801
"138",8521763
"139",8521755
"140",8521697
"141",8521691
"142",8521685
"143",8521649
"144",8521631
"145",8521617
"146",8521607
"147",8521577
"148",8521555
"149",8521543
"150",8521535
"151",8521503
"152",8521403
"153",8521381
"154",8520617
"155",8520601
"156",8520591
"157",8520567
"158",8520751
"159",8520737
"160",8520499
"161",8520473
"162",8523643
"163",8523641
"164",8523645
"165",8523635
"166",8523637
"167",8523639
"168",8522199
"169",8522161
"170",8523893
"171",8523895
"172",8523631
"173",8523515
"174",8523521
"175",8523605
"176",8523607
"177",8522669
"178",8523717
"179",8523617
"180",8523743
"181",8523701
"182",8523721
"183",8523719
"184",8523705
"185",8523703
"186",8523723
"187",8523725
"188",8523729
"189",8523613
"190",8523519
"191",8531947
"192",8523629
"193",8523627
"194",8523477
"195",8531959
"196",8522073
"197",8531957
"198",8522099
"199",8522087
"200",8523473
"201",8522139
"202",8522257
"203",8522261
"204",8523459
"205",8523457
"206",8523453
"207",8523443
"208",8523437
"209",8523433
"210",8520767
"211",8520765
"212",8548199
"213",8548209
"214",8548197
"215",8548181
"216",8548179
"217",8548169
"218",8548167
"219",8548165
"220",8548119
"221",8548117
"222",8548115
"223",8548113
"224",8548105
"225",8548103
"226",8548101
"227",8548095
"228",8548093
"229",8548087
"230",8548083
"231",8548071
"232",8548075
"233",8548073
"234",8548081
"235",8558091
"236",8558093
"237",8548053
"238",8548055
"239",8548057
"240",8548059
"241",8548069
"242",8548017
"243",8548021
"244",8548019
"245",8547963
"246",8547965
"247",8547967
"248",8547961
"249",8547959
"250",8547981
"251",8547921
"252",8547919
"253",8547917
"254",8547915
"255",8547905
"256",8547903
"257",8547877
"258",8547869
"259",8547875
"260",8547881
"261",8547867
"262",8558119
"263",8558121
"264",8551347
"265",8552701
"266",8552681
"267",8552687
"268",8552689
"269",8552693
"270",8552695
"271",8552675
"272",8552671
"273",8552749
"274",8552719
"275",8552631
"276",8550181
"277",8550183
"278",8550031
"279",8550043
"280",8550045
"281",8549975
"282",8550039
"283",8550013
"284",8550029
"285",8550041
"286",8549979
"287",8550027
"288",8550005
"289",8550015
"290",8550007
"291",8550011
"292",8550019
"293",8550009
"294",8550021
"295",8550161
"296",8550047
"297",8550159
"298",8550167
