"","COMID"
"1",10054760
"2",10055190
"3",10054808
"4",10053790
"5",10053792
"6",10054574
"7",10055192
"8",10055194
"9",10055318
"10",10055176
"11",10055174
"12",10054738
"13",10054804
"14",10054736
"15",10056156
"16",10055702
"17",10054814
"18",10054816
"19",10053774
"20",10053830
"21",10053848
"22",10054756
"23",10053666
"24",10057906
"25",10055030
"26",10053716
"27",10057914
"28",10054806
"29",10054560
"30",10055694
"31",10055696
"32",10053762
"33",10055048
"34",10053786
"35",10055046
"36",10053714
"37",10057916
"38",10054810
"39",10053700
"40",10053668
"41",10053708
"42",10053546
"43",10057908
"44",10054762
"45",10055196
"46",10057930
"47",10055184
"48",10055206
"49",10055198
"50",10057932
"51",10055204
"52",10055186
"53",10055200
"54",10055188
"55",10055202
"56",10055328
"57",10055330
"58",10055172
"59",10055170
"60",10055340
"61",10055338
"62",10055334
"63",10055168
"64",10055342
"65",10055698
"66",10055700
"67",10055710
"68",10055706
"69",10055712
"70",10055708
"71",10055704
"72",10057974
"73",10056154
"74",10056152
"75",10055332
"76",10057902
"77",10054740
"78",10055568
"79",10054510
"80",10053710
"81",10055210
"82",10053696
"83",10053664
"84",10053670
"85",10053660
"86",10053654
"87",10053642
"88",10055208
"89",10055212
"90",10055344
"91",10055336
"92",10055346
"93",10055576
"94",10055572
"95",10055570
"96",10055578
"97",10055574
"98",10053662
"99",10053656
