"","COMID"
"1",6251234
"2",6249636
"3",6251128
"4",6251098
"5",932030163
"6",6251006
"7",6251014
"8",932030164
"9",6250998
"10",6249686
"11",6249670
"12",6249650
"13",6251048
"14",6251026
"15",6251020
"16",6251028
"17",6251018
"18",6251052
"19",6249824
"20",6249784
"21",6251084
"22",6251062
"23",6251064
"24",6251082
"25",6249832
"26",6251086
"27",6251090
"28",6251126
"29",6250676
"30",6251124
"31",6251152
"32",6251144
"33",6251122
"34",6251112
"35",6249820
"36",6249826
"37",6251110
"38",6251114
"39",6251116
"40",6249828
"41",6249762
"42",26814495
"43",6249754
"44",6250656
"45",6249910
"46",6250668
"47",6249902
"48",6250688
"49",6250692
"50",6250690
"51",6250700
"52",6249976
"53",6249992
"54",6250714
"55",6250762
"56",6250766
"57",6250784
"58",6250202
"59",6250802
"60",6250246
"61",6250814
"62",6250836
"63",6250358
"64",6250368
"65",6250390
"66",6250398
"67",6250864
"68",6250422
"69",6250420
"70",6250418
"71",6250860
"72",6250360
"73",6250852
"74",6250336
"75",6250332
"76",6250276
"77",6250266
"78",6250320
"79",6251404
"80",6251400
"81",6251402
"82",6250820
"83",6251396
"84",6250214
"85",6250190
"86",6251392
"87",6251394
"88",6250388
"89",6249772
"90",6249770
"91",6249814
"92",6249768
"93",6249792
"94",6251104
"95",6250666
"96",6254170
"97",6251138
"98",6251140
"99",6249812
"100",6249746
"101",6249688
"102",6251008
"103",6251012
"104",6249816
"105",6251106
"106",6249780
"107",6249766
"108",6249740
"109",6249738
"110",6249700
"111",6249690
"112",6249658
"113",6250622
"114",6249500
"115",6249492
"116",6249470
"117",6250618
"118",6249994
"119",6250706
"120",6249948
"121",6250680
"122",6249912
"123",6249860
"124",6251176
"125",6250646
"126",6249724
"127",6249774
"128",6249866
"129",6250378
"130",6250384
"131",6250846
"132",6250842
"133",6250302
"134",6250304
"135",6251398
"136",6250280
"137",6250278
"138",6250826
"139",6250428
"140",6250424
"141",6250432
"142",6251408
"143",6251406
"144",6250426
"145",6250430
"146",6250414
"147",6250416
"148",6250412
"149",6250938
"150",6249494
"151",6249516
"152",6249428
"153",6250616
"154",6246220
"155",6249376
"156",6246046
"157",6246130
"158",6246720
"159",6246036
"160",6245884
"161",6246010
"162",6246648
"163",6245870
"164",6245806
"165",6245850
"166",6247018
"167",6245800
"168",6245794
"169",6249710
"170",6251046
"171",6249568
"172",6249566
"173",6249508
"174",6249426
"175",6250940
"176",6249352
"177",6249402
"178",932030149
"179",6246230
"180",932030150
"181",6246210
"182",6246182
"183",6246184
"184",6246178
"185",6246174
"186",6246362
"187",6246090
"188",6246854
"189",6246084
"190",6246066
"191",6245978
"192",6245976
"193",6245966
"194",6246012
"195",6246352
"196",6246328
"197",6245662
"198",6249852
"199",932030161
"200",6250682
"201",6250704
"202",6249760
"203",6249788
"204",6251056
"205",6251070
"206",6251054
"207",6251078
"208",6249842
"209",6249966
"210",6251094
"211",6254168
"212",6251092
"213",6250034
"214",6251278
"215",6250736
"216",6249928
"217",6251146
"218",6251148
"219",6249960
"220",6249748
"221",6250642
"222",6249862
"223",6250654
"224",6249904
"225",6249884
"226",6249800
"227",6251208
"228",6249786
"229",6250650
"230",6249596
"231",6251036
"232",6246242
"233",6249392
"234",6246190
"235",6246214
"236",6246892
"237",6246152
"238",6246880
"239",6246364
"240",6250770
"241",6250238
"242",6250794
"243",6251372
"244",6251370
"245",6250252
"246",6250862
"247",6250352
"248",6250346
"249",6250880
"250",6250334
"251",6250324
"252",6250312
"253",6250828
"254",6250220
"255",6250796
"256",6250818
"257",6250326
"258",6250328
"259",6250348
"260",6251502
"261",6250356
"262",6250392
"263",6250448
"264",6250872
"265",6250438
"266",6250406
"267",6250366
"268",6251500
"269",6250340
"270",6250812
"271",6250230
"272",6250198
"273",6250188
"274",6250136
"275",6250102
"276",6250224
"277",6250232
"278",6250790
"279",6250764
"280",6251494
"281",6250724
"282",6250732
"283",6250712
"284",6250710
"285",6250684
"286",6250670
"287",6250664
"288",6249752
"289",6249834
"290",6250662
"291",6249836
"292",6246324
"293",6250648
"294",6251118
"295",6251120
"296",6249730
"297",6249892
"298",6251418
"299",6249482
"300",6249614
"301",6250944
"302",6250942
"303",6250990
"304",6249474
"305",932030125
"306",6249364
"307",6249344
"308",6249358
"309",6250924
"310",6249906
"311",6251096
"312",6246506
"313",6246514
"314",6245678
"315",6245720
"316",6245716
"317",6245614
"318",6245750
"319",6246552
"320",6246558
"321",6246562
"322",6246516
"323",6249854
"324",6254132
"325",6249936
"326",6250878
"327",6249850
"328",6249846
"329",6249782
"330",6251100
"331",6251412
"332",6251414
"333",6250968
"334",6250978
"335",6246862
"336",6246860
"337",6246848
"338",6246796
"339",6246780
"340",6251390
"341",6251378
"342",26814563
"343",6249346
"344",932030105
"345",932030162
"346",6246946
"347",6249400
"348",6246228
"349",6249450
"350",6250952
"351",6250614
"352",6246162
"353",6246148
"354",6246132
"355",6246794
"356",6246098
"357",932030071
"358",932030072
"359",6245880
"360",6245862
"361",6246686
"362",6245838
"363",6245834
"364",6245796
"365",6245768
"366",6246632
"367",6245740
"368",6245726
"369",6246618
