,MonitoringLocationIdentifier,LatitudeMeasure,LongitudeMeasure,DrainageAreaMeasure/MeasureValue
0,USGS-02231000,30.35884726,-82.0815013,700.0
1,USGS-02231350,27.6408664,-80.6783906,297.0
2,USGS-02231600,28.074462,-80.8881155,248.0
3,USGS-02232000,28.08473879,-80.752001,968.0
4,USGS-02232200,28.2130681,-80.91089309,25.7
5,USGS-02232400,28.36972837,-80.8725578,1331.0
6,USGS-02232500,28.54305529,-80.943392,1539.0
7,USGS-02233100,28.565278,-81.154231,119.0
8,USGS-02233200,28.5250021,-81.243956,27.1
9,USGS-02233500,28.67777778,-81.1141667,241.0
10,USGS-02234000,28.7141611,-81.0353374,2043.0
11,USGS-02234100,28.8461018,-81.079226,140.0
12,USGS-02235000,28.81426389,-81.4193056,189.0
13,USGS-02236000,29.00831827,-81.3825651,3066.0
14,USGS-02237700,28.72249444,-81.6847976,184.0
15,USGS-02238500,29.0811111,-81.8808333,879.0
16,USGS-02240000,29.21469888,-81.9859203,1196.0
17,USGS-02240500,29.37166667,-81.9019444,1367.0
18,USGS-02243000,29.50969267,-81.9461999,1119.0
19,USGS-02243800,29.54135854,-81.83647529,54.3
20,USGS-02243960,29.50833333,-81.8041667,2747.0
21,USGS-02244005,29.48358157,-81.73313759,2762.0
22,USGS-02244030,29.54469179,-81.7303608,
23,USGS-02244450,29.59635886,-81.6078574,7094.0
24,USGS-02245500,29.9794075,-81.8520426,134.0
25,USGS-02245800,30.11357285,-81.9831613,50.5
26,USGS-02246500,30.3224616,-81.6653735,8850.0
27,USGS-02247000,29.82802493,-81.3489619,11.2
28,USGS-02248000,29.05081845,-81.0464455,33.4
29,USGS-02249500,28.07946057,-80.6294983,12.6
30,USGS-02251800,27.75447297,-80.4275516,
31,USGS-02252500,27.69308613,-80.42005169,
32,USGS-02253000,27.64780983,-80.405607,
33,USGS-02253500,27.6044779,-80.386579,
34,USGS-02257800,27.03366479,-81.0706224,
35,USGS-02258000,27.02449846,-81.069789,
36,USGS-02259200,27.09338463,-81.0067319,
37,USGS-02259500,27.06616336,-80.9864537,
38,USGS-02262900,28.37139699,-81.3106247,83.6
39,USGS-02263869,28.41278456,-81.5378509,2.56
40,USGS-02264000,28.39056323,-81.5195173,29.3
41,USGS-02264100,28.32528785,-81.5206284,44.7
42,USGS-02264495,28.26723444,-81.4478495,180.0
43,USGS-02266200,28.38500749,-81.6164632,12.4
44,USGS-02266291,28.42694444,-81.6052778,19.6
45,USGS-02266294,28.3945628,-81.5843794,
46,USGS-02266295,28.36639716,-81.5984074,7.53
47,USGS-02266300,28.33278738,-81.579796,84.6
48,USGS-02266480,28.271123,-81.5909074,23.0
49,USGS-02266500,28.2636234,-81.536462,177.0
50,USGS-02266550,28.15001585,-81.4409055,234.0
51,USGS-02268903,27.8041929,-81.1978457,1607.0
52,USGS-02268904,27.8041929,-81.1978457,1607.0
53,USGS-02270500,27.44238889,-81.2970278,379.0
54,USGS-02271500,27.3742078,-81.3934062,109.0
55,USGS-02272000,27.39920639,-81.16229,
56,USGS-02272500,27.36476398,-81.0517323,2709.0
57,USGS-02273000,27.22587987,-80.96256389,
58,USGS-02273200,27.33226418,-81.2511809,
59,USGS-02273300,27.21560245,-80.981731,
60,USGS-02274000,27.39448596,-80.89534,57.0
61,USGS-02274500,27.28448929,-80.8220049,98.7
62,USGS-02276416,26.8253383,-80.6678352,
63,USGS-02276496,27.3742082,-80.3422726,
64,USGS-02276670,27.3380984,-80.3422726,
65,USGS-02276870,26.98548333,-80.6155833,
66,USGS-02277000,27.1117472,-80.2848694,
67,USGS-02277600,26.93925,-80.17525,
68,USGS-02277700,26.93422439,-80.1417101,
69,USGS-02278000,26.8642256,-80.631723,
70,USGS-02278002,26.86283678,-80.6303342,
71,USGS-02278450,26.68506528,-80.3706056,
72,USGS-02278530,26.9281122,-80.5803328,
73,USGS-02278550,26.68506533,-80.3594943,
74,USGS-02278727,26.68367687,-80.2831034,
75,USGS-02278818,26.683677,-80.19976778,
76,USGS-02279000,26.64478938,-80.0586527,
77,USGS-02280500,26.70021389,-80.7090694,
78,USGS-02280600,26.68923243,-80.676169,
79,USGS-02281050,26.55034863,-80.5164429,
80,USGS-02281200,26.47285,-80.4468833,
81,USGS-02281278,26.51979414,-80.3275492,
82,USGS-02281290,26.44896335,-80.2858817,
83,USGS-02281295,26.3961875,-80.2942155,
84,USGS-02281300,26.3559112,-80.2992158,
85,USGS-02281415,26.3253566,-80.2025466,
86,USGS-02281500,26.3278564,-80.1308777,
87,USGS-02281700,26.22952697,-80.296994,
88,USGS-02282000,26.23119327,-80.1242112,
89,USGS-02282100,26.20591644,-80.132267,
90,USGS-02282700,26.17313998,-80.17949079,
91,USGS-02283200,26.13508588,-80.1947691,
92,USGS-02283498,26.70034338,-80.7150588,
93,USGS-02283500,26.6976,-80.7128167,
94,USGS-02283600,26.66701139,-80.7164479,
95,USGS-02284501,26.23036056,-80.459498,
96,USGS-02284520,26.15036354,-80.4414423,
97,USGS-02284642,26.28091418,-80.4192191,
98,USGS-02284646,26.2531372,-80.2997719,
99,USGS-02284694,26.1531412,-80.4358866,
100,USGS-02284700,26.14564149,-80.4411646,
101,USGS-02284800,26.11147588,-80.2969943,
102,USGS-02285000,26.09453194,-80.2297703,
103,USGS-02285399,26.06147799,-80.4414426,
104,USGS-02285400,26.06147799,-80.4414426,83.0
105,USGS-02285900,26.06453318,-80.2806051,
106,USGS-02286100,26.0661996,-80.2086586,
107,USGS-02286150,26.05397768,-80.1550458,
108,USGS-02286181,25.95675968,-80.4308872,
109,USGS-02286200,25.96425918,-80.310884,
110,USGS-02286300,25.92842674,-80.15587938,
111,USGS-02286320,25.91342765,-80.29338369,
112,USGS-02286340,25.87370658,-80.1817137,
113,USGS-02286380,25.93370499,-80.4303317,
114,USGS-02286400,26.69534407,-80.8067278,
115,USGS-02286700,26.33174639,-80.7745058,
116,USGS-02287105,25.93370505,-80.45811019,
117,USGS-02287200,25.9337048,-80.3414404,
118,USGS-02287395,25.94148249,-80.4394986,
119,USGS-02288500,25.8275974,-80.2872727,
120,USGS-02288600,25.80843135,-80.2633833,
121,USGS-02288800,25.88772088,-81.2616343,
122,USGS-02288820,25.87537677,-81.2247973,
123,USGS-02288900,25.85176527,-80.9803467,
124,USGS-02289040,25.7620455,-80.7258958,
125,USGS-02289043,25.81565456,-80.721451,
126,USGS-02289060,25.76114167,-80.5617056,
127,USGS-02289500,25.7625,-80.3280833,
128,USGS-02290610,25.7159351,-80.3828313,
129,USGS-02290700,25.67010294,-80.2839402,
130,USGS-02290710,25.54316317,-80.3308866,
131,USGS-02290725,25.4706659,-80.346165,
132,USGS-02290769,25.3272222,-80.5248333,
133,USGS-02290800,25.40333917,-80.6070968,
134,USGS-02290810,25.28600278,-80.68863889,
135,USGS-02290812,25.6364948,-80.7386743,
136,USGS-02290815,25.6152205,-80.7023262,
