OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-01302500,GLEN COVE CREEK AT GLEN COVE NY,Stream,,02030201,14.4,sq mi,,,40.86333330000000,-73.6341667000000,24000,1,seconds,Interpolated from MAP.,NAD83,15.68,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303000,MILL NECK CREEK AT MILL NECK NY,Stream,,02030201,8.58,sq mi,,,40.88741667000000,-73.5631944000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,6.49,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01303500,COLD SPRING BROOK AT COLD SPRING HARBOR NY,Stream,,02030201,7.83,sq mi,,,40.85716667000000,-73.4635556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,5.38,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304000,NISSEQUOGUE RIVER NEAR SMITHTOWN NY,Stream,,02030201,27.0,sq mi,,,40.84991667000000,-73.2242222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,9.59,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304500,PECONIC RIVER AT RIVERHEAD NY,Stream,,02030202,74.7,sq mi,,,40.91369444000000,-72.6869444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,6.54,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01305000,CARMANS RIVER AT YAPHANK NY,Stream,,02030202,73.1,sq mi,,,40.83016667000000,-72.9061388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,17.95,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01305500,SWAN RIVER AT EAST PATCHOGUE NY,Stream,,02030202,8.07,sq mi,,,40.76725000000000,-72.9938333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2.84,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306000,PATCHOGUE RIVER AT PATCHOGUE NY,Stream,,02030202,13.4,sq mi,,,40.76555556000000,-73.0205556000000,24000,1,seconds,Interpolated from MAP.,NAD83,0.50,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306495,CONNETQUOT RIVER DISTRIBUTORY NEAR OAKDALE NY,Stream,,02030202,27.66,sq mi,,,40.75009820000000,-73.1476133000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01306499,CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY,Stream,,02030202,,,,,40.74759826000000,-73.1503912000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01307000,CHAMPLIN CREEK AT ISLIP NY,Stream,,02030202,5.18,sq mi,,,40.73694444000000,-73.2016667000000,24000,1,seconds,Interpolated from MAP.,NAD83,10.85,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01307500,PENATAQUIT CREEK AT BAY SHORE NY,Stream,,02030202,5.25,sq mi,,,40.72694444000000,-73.2441667000000,24000,1,seconds,Interpolated from MAP.,NAD83,6.64,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01308000,SAMPAWAMS CREEK AT BABYLON NY,Stream,,02030202,22.7,sq mi,,,40.70436110000000,-73.3136388900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,6.36,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01308500,CARLLS RIVER AT BABYLON NY,Stream,,02030202,35.4,sq mi,,,40.70897220000000,-73.3288056000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,10.63,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309000,SANTAPOGUE CREEK AT LINDENHURST NY,Stream,,02030202,3.89,sq mi,,,40.69166667000000,-73.3550000000000,24000,1,seconds,Interpolated from MAP.,NAD83,9.71,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309500,MASSAPEQUA CREEK AT MASSAPEQUA NY,Stream,,02030202,38.6,sq mi,,,40.68900000000000,-73.4553888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,18.31,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309950,BELLMORE CREEK NEAR BELLMORE NY,Stream,,02030202,14.2,sq mi,,,40.67866667000000,-73.5158611000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01309990,BELLMORE CREEK TRIBUTARY AT BELLMORE NY,Stream,,02030202,0.04,sq mi,,,40.68011110000000,-73.5130000000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,16.96,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310470,"EAST MEADOW BROOK NEAR UNIONDALE, NY (MD-31)",Stream,,02030202,,,,,40.73371197000000,-73.5845718000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310472,"EAST MEADOW BROOK AT UNIONDALE, NY (MD-30)",Stream,,02030202,,,,,40.72898980000000,-73.5837385000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-013104725,EAST MEADOWBROOK SOUTH OF CHARLES LINDBERG BLVD,Stream,,02030202,,,,,40.72787870000000,-73.5829051800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01310500,EAST MEADOW BROOK AT FREEPORT NY,Stream,,02030202,28.7,sq mi,,,40.66563889000000,-73.5700833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,10.45,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311000,PINES BROOK AT MALVERNE NY,Stream,,02030202,10.1,sq mi,,,40.66638889000000,-73.6591667000000,24000,1,seconds,Interpolated from MAP.,NAD83,7.11,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,059,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311888,AVALANCHE LAKE AT DAM NEAR MT MARCY,Stream,,02020001,0.46,sq mi,,,44.13055830000000,-73.9698277800000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2864,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311893,LAKE COLDEN AT DAM NEAR MT MARCY,Stream,,02020001,2.56,sq mi,,,44.11937778000000,-73.9826083000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,2773,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,031,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01311990,FISHING BROOK AT 28N NEAR LONG LAKE NY,Stream,,02020001,10.1,sq mi,,,43.97805556000000,-74.3366667000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,041,,,,,,,,,,NWIS
