"","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","LocalAqfrName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"1","USGS-CO","USGS Colorado Water Science Center","USGS-09163530","COLORADO RIVER BELOW COLORADO-UTAH STATE LINE","Stream",NA,14030001,17900,"sq mi",NA,NA,39.08831747,-109.1009454,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"2","USGS-UT","USGS Utah Water Science Center","USGS-09163675","COTTONWOOD WASH AT I-70, NEAR CISCO, UTAH","Stream",NA,14030001,170,"sq mi",NA,NA,39.08165184,-109.2176153,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"3","USGS-UT","USGS Utah Water Science Center","USGS-09180000","DOLORES RIVER NEAR CISCO, UT","Stream",NA,14030004,4580,"sq mi",NA,NA,38.79720805,-109.1951142,NA,5,"seconds","Interpolated from MAP.","NAD83",4165,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"4","USGS-UT","USGS Utah Water Science Center","USGS-09180500","COLORADO RIVER NEAR CISCO, UT","Stream",NA,14030005,24100,"sq mi",NA,NA,38.81054095,-109.2934493,NA,5,"seconds","Interpolated from MAP.","NAD83",4092.35,"feet",0.24,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"5","USGS-UT","USGS Utah Water Science Center","USGS-09182880","COLORADO RIVER AT HIGHWAY BRIDGE NR MOAB, UT","Stream",NA,14030005,NA,NA,NA,NA,38.6038705,-109.5778956,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"6","USGS-UT","USGS Utah Water Science Center","USGS-09183210","COLORADO R ABOVE MILL CREEK NEAR MOAB, UTAH","Stream",NA,14030005,NA,NA,NA,NA,38.57525984,-109.5787286,NA,5,"seconds","Interpolated from MAP.","NAD83",NA,NA,NA,NA,NA,NA,"US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"7","USGS-UT","USGS Utah Water Science Center","USGS-09187550","INDIAN CREEK BLW BOGUS POCKET, NR MONTICELLO, UT","Stream",NA,14030005,262,"sq mi",NA,NA,38.1516546,-109.6256753,NA,5,"seconds","Interpolated from MAP.","NAD83",4920,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"8","USGS-UT","USGS Utah Water Science Center","USGS-09234500","GREEN RIVER NEAR GREENDALE, UT","Stream",NA,14040106,19400,"sq mi",15100,"sq mi",40.90829296,-109.422914,"24000",1,"seconds","Interpolated from MAP.","NAD83",5594.21,"feet",0.12,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",49,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"9","USGS-UT","USGS Utah Water Science Center","USGS-09261000","GREEN RIVER NEAR JENSEN, UT","Stream",NA,14060001,29660,"sq mi",25400,"sq mi",40.40940757,-109.2354043,NA,5,"seconds","Interpolated from MAP.","NAD83",4761.82,"feet",0.16,"feet","GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System","NAVD88","US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"10","USGS-UT","USGS Utah Water Science Center","USGS-09279500","DUCHESNE RIVER AT DUCHESNE, UTAH","Stream",NA,14060003,660,"sq mi",NA,NA,40.16412475,-110.3934884,NA,5,"seconds","Interpolated from MAP.","NAD83",5494.4,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"11","USGS-UT","USGS Utah Water Science Center","USGS-09288500","STRAWBERRY RIVER AT DUCHESNE, UTAH","Stream",NA,14060004,1066,"sq mi",NA,NA,40.16106914,-110.4118219,NA,5,"seconds","Interpolated from MAP.","NAD83",5512.4,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",49,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
